299 9 
2 0 
1000
0 1  0 
-0.999989 6.12323e-17 0100000000000000001 2 
0.999989 1 1011111111111111110 0 
0.546875 1 1010001 0 
0.999989 -1 1011111111111111110 1 
0.999989 6.12323e-17 1011111111111111110 2 
-0.40625 -1 011001 1 
0.998291 1 1011111111100 0 
0.998291 -1 1011111111100 1 
0.40625 -1 100110 1 
-0.882812 -1 01000111 1 
0.998779 1 1011111111101 0 
0.998779 -1 1011111111101 1 
0.882812 -1 10111000 1 
0.6875 -0.577316 10101 3 
0.578125 1 1010010 0 
-0.6875 -0.577316 01010 3 
-0.986328 6.12323e-17 0100000011 2 
0.986328 6.12323e-17 1011111100 2 
0.609375 1 1010011 0 
-0.99707 0.658716 01000000001 4 
0.99707 0.658716 10111111110 4 
-1 1 0100000000000000000000 0 
-0.964844 1 010000100 0 
-1 -1 0100000000000000000000 1 
-0.964844 -1 010000100 1 
-1 6.12323e-17 0100000000000000000000 2 
-0.957031 1 010000101 0 
-0.957031 -1 010000101 1 
1 1 1011111111111111111111 0 
1 -1 1011111111111111111111 1 
-0.949219 1 010000110 0 
1 6.12323e-17 1011111111111111111111 2 
-0.999817 -0.577316 010000000000001 3 
0.999817 -0.577316 101111111111110 3 
-0.941406 1 010000111 0 
0.9375 -0.83924 10111 5 
-0.9375 -0.83924 01000 5 
-0.859375 6.12323e-17 0100100 2 
0.640625 1 1010100 0 
0.859375 6.12323e-17 1011011 2 
-0.734375 -1 0101000 1 
-0.125 -0.577316 0111 3 
0.671875 1 1010101 0 
0.125 -0.577316 1000 3 
-0.995117 6.12323e-17 01000000010 2 
0.995117 6.12323e-17 10111111101 2 
0.703125 1 1010110 0 
-0.5625 -0.577316 01011 3 
0.5625 -0.577316 10100 3 
0.999878 0.658716 10111111111111 4 
0.734375 1 1010111 0 
0.734375 -1 1010111 1 
-0.999878 0.658716 01000000000000 4 
0.999992 -0.577316 101111111111111111 3 
0.941406 1 101111000 0 
-0.999992 -0.577316 010000000000000000 3 
-0.703125 -1 0101001 1 
0.703125 -1 1010110 1 
0.949219 1 101111001 0 
-0.949219 -1 010000110 1 
0.949219 -1 101111001 1 
-0.999994 1 01000000000000000001 0 
0.957031 1 101111010 0 
-0.999994 -1 01000000000000000001 1 
0.957031 -1 101111010 1 
-0.999994 6.12323e-17 01000000000000000001 2 
0.964844 1 101111011 0 
0.964844 -1 101111011 1 
0.999994 1 10111111111111111110 0 
0.999994 -1 10111111111111111110 1 
-0.99939 1 01000000000010 0 
-0.99939 -1 01000000000010 1 
0.999994 6.12323e-17 10111111111111111110 2 
-0.828125 6.12323e-17 0100101 2 
-0.999146 1 01000000000011 0 
-0.999146 -1 01000000000011 1 
0.828125 6.12323e-17 1011010 2 
-0.941406 -1 010000111 1 
-0.484375 1 0110000 0 
0.941406 -1 101111000 1 
-0.84375 -0.577316 010010 3 
0.84375 -0.577316 101101 3 
-0.453125 1 0110001 0 
-0.993164 6.12323e-17 01000000011 2 
0.993164 6.12323e-17 10111111100 2 
0.998535 0.658716 101111111110 4 
0.999146 1 10111111111100 0 
0.999146 -1 10111111111100 1 
-0.998535 0.658716 010000000001 4 
-1 1 01000000000000000000000 0 
0.99939 1 10111111111101 0 
-1 -1 01000000000000000000000 1 
0.99939 -1 10111111111101 1 
-1 6.12323e-17 01000000000000000000000 2 
-0.421875 1 0110010 0 
1 1 10111111111111111111111 0 
1 -1 10111111111111111111111 1 
1 6.12323e-17 10111111111111111111111 2 
-0.390625 1 0110011 0 
0.999908 -0.577316 1011111111111110 3 
-0.999908 -0.577316 0100000000000001 3 
-0.96875 -0.83924 010000 5 
-0.359375 1 0110100 0 
0.96875 -0.83924 101111 5 
-0.34375 -1 011010 1 
0.34375 -1 100101 1 
-0.328125 1 0110101 0 
-0.929688 6.12323e-17 01000100 2 
0.929688 6.12323e-17 10111011 2 
-0.997559 6.12323e-17 010000000010 2 
-0.296875 1 0110110 0 
0.997559 6.12323e-17 101111111101 2 
-0.28125 -1 011011 1 
0.28125 -1 100100 1 
-0.265625 1 0110111 0 
-0.999939 0.658716 010000000000000 4 
0.999939 0.658716 101111111111111 4 
-0.78125 -0.577316 010011 3 
-0.234375 1 0111000 0 
0.78125 -0.577316 101100 3 
-0.999996 -0.577316 0100000000000000000 3 
0.999996 -0.577316 1011111111111111111 3 
-0.203125 1 0111001 0 
-0.999997 1 010000000000000000001 0 
-0.999997 -1 010000000000000000001 1 
-0.999997 6.12323e-17 010000000000000000001 2 
-0.171875 1 0111010 0 
0.999997 1 101111111111111111110 0 
0.999997 -1 101111111111111111110 1 
0.999997 6.12323e-17 101111111111111111110 2 
-0.140625 1 0111011 0 
-0.914062 6.12323e-17 01000101 2 
0.914062 6.12323e-17 10111010 2 
-0.625 -0.83924 0101 5 
-0.982422 1 0100000100 0 
-0.982422 -1 0100000100 1 
0.625 -0.83924 1010 5 
-0.59375 6.12323e-17 010110 2 
-0.978516 1 0100000101 0 
-0.978516 -1 0100000101 1 
0.59375 6.12323e-17 101001 2 
-0.671875 -1 0101010 1 
-0.999695 1 010000000000010 0 
-0.999695 -1 010000000000010 1 
0.671875 -1 1010101 1 
-0.921875 -0.577316 0100010 3 
-0.999573 1 010000000000011 0 
-0.999573 -1 010000000000011 1 
0.921875 -0.577316 1011101 3 
-0.640625 -1 0101011 1 
-0.974609 1 0100000110 0 
-0.974609 -1 0100000110 1 
0.640625 -1 1010100 1 
-0.53125 6.12323e-17 010111 2 
-0.970703 1 0100000111 0 
-0.970703 -1 0100000111 1 
0.53125 6.12323e-17 101000 2 
-0.996582 6.12323e-17 010000000011 2 
0.999573 1 101111111111100 0 
0.999573 -1 101111111111100 1 
0.996582 6.12323e-17 101111111100 2 
-0.999268 0.658716 0100000000001 4 
0.999695 1 101111111111101 0 
0.999695 -1 101111111111101 1 
0.999268 0.658716 1011111111110 4 
-1 1 010000000000000000000000 0 
-0.109375 1 0111100 0 
-1 -1 010000000000000000000000 1 
-1 6.12323e-17 010000000000000000000000 2 
1 1 101111111111111111111111 0 
-0.078125 1 0111101 0 
1 -1 101111111111111111111111 1 
1 6.12323e-17 101111111111111111111111 2 
-0.999954 -0.577316 01000000000000001 3 
-0.046875 1 0111110 0 
0.999954 -0.577316 10111111111111110 3 
-0.984375 -0.83924 0100000 5 
0.984375 -0.83924 1011111 5 
-0.015625 1 0111111 0 
-0.964844 6.12323e-17 010000100 2 
0.964844 6.12323e-17 101111011 2 
-0.998779 6.12323e-17 0100000000010 2 
0.970703 1 1011111000 0 
0.970703 -1 1011111000 1 
0.998779 6.12323e-17 1011111111101 2 
-0.1875 6.12323e-17 01110 2 
0.974609 1 1011111001 0 
0.974609 -1 1011111001 1 
0.1875 6.12323e-17 10001 2 
0.999969 0.658716 1011111111111111 4 
0.978516 1 1011111010 0 
0.978516 -1 1011111010 1 
-0.999969 0.658716 0100000000000000 4 
0.999998 -0.577316 10111111111111111111 3 
0.982422 1 1011111011 0 
0.982422 -1 1011111011 1 
-0.999998 -0.577316 01000000000000000000 3 
-0.890625 -0.577316 0100011 3 
-0.21875 -1 011100 1 
0.890625 -0.577316 1011100 3 
-0.999999 1 0100000000000000000001 0 
-0.999999 -1 0100000000000000000001 1 
-0.15625 -1 011101 1 
-0.999999 6.12323e-17 0100000000000000000001 2 
0.999999 1 1011111111111111111110 0 
0.999999 -1 1011111111111111111110 1 
-0.09375 -1 011110 1 
0.999999 6.12323e-17 1011111111111111111110 2 
-0.957031 6.12323e-17 010000101 2 
0.957031 6.12323e-17 101111010 2 
-0.03125 -1 011111 1 
-0.796875 6.12323e-17 0100110 2 
0.796875 6.12323e-17 1011001 2 
-0.8125 -0.83924 01001 5 
-0.0625 6.12323e-17 01111 2 
0.8125 -0.83924 10110 5 
-0.765625 6.12323e-17 0100111 2 
0.765625 6.12323e-17 1011000 2 
0.015625 1 1000000 0 
-0.960938 -0.577316 01000010 3 
0.960938 -0.577316 10111101 3 
-0.609375 -1 0101100 1 
0.046875 1 1000001 0 
0.609375 -1 1010011 1 
-0.998291 6.12323e-17 0100000000011 2 
0.998291 6.12323e-17 1011111111100 2 
0.078125 1 1000010 0 
-0.999634 0.658716 01000000000001 4 
0.999634 0.658716 10111111111110 4 
-1 1 0100000000000000000000000 0 
0.109375 1 1000011 0 
-1 -1 0100000000000000000000000 1 
-1 6.12323e-17 0100000000000000000000000 2 
1 1 1011111111111111111111111 0 
0.140625 1 1000100 0 
1 -1 1011111111111111111111111 1 
1 6.12323e-17 1011111111111111111111111 2 
-0.999977 -0.577316 010000000000000001 3 
0.171875 1 1000101 0 
0.999977 -0.577316 101111111111111110 3 
0.21875 -1 100011 1 
-0.578125 -1 0101101 1 
0.203125 1 1000110 0 
0.578125 -1 1010010 1 
0.0625 6.12323e-17 10000 2 
-0.992188 -0.83924 01000000 5 
0.234375 1 1000111 0 
0.992188 -0.83924 10111111 5 
-0.982422 6.12323e-17 0100000100 2 
0.982422 6.12323e-17 1011111011 2 
0.03125 -1 100000 1 
-0.75 0.870029 010 6 
0.75 0.870029 101 6 
0.375 0.658716 1001 4 
0.09375 -1 100001 1 
-0.375 0.658716 0110 4 
-0.99939 6.12323e-17 01000000000010 2 
0.99939 6.12323e-17 10111111111101 2 
-0.999847 1 0100000000000010 0 
-0.999847 -1 0100000000000010 1 
0.15625 -1 100010 1 
0.999985 0.658716 10111111111111111 4 
-0.999786 1 0100000000000011 0 
-0.999786 -1 0100000000000011 1 
